X,Y
-46.028192960008056,45.94097948273256
-45.9544251004896,45.95004489503321
-45.880667866454985,45.95903258544584
-45.80692122661725,45.96794274875578
-45.73318514968959,45.9767755797485
-45.65945960438506,45.98553127320935
-45.585744559416824,45.994210023923785
-45.512039983498006,46.00281202667721
-45.43834584534168,46.011337476254994
-45.36466211366105,46.019786567442615
-45.290988757169124,46.028159495025406
-45.21732574457912,46.03645645378884
-45.1436730446041,46.044677638518266
-45.07003062595718,46.05282324399913
-44.99639845735154,46.06089346501684
-44.92277650750023,46.06888849635678
-44.84916474511643,46.07680853280441
-44.77556313891319,46.084653769145056
-44.70197165760369,46.092424400164184
-44.62839026990105,46.10012062064722
-44.55481894451833,46.107742625379515
-44.48125765016873,46.115290609146534
-44.407706355565296,46.12276476673363
-44.33416502942121,46.13016529292625
-44.26063364044953,46.13749238250979
-44.187112157363416,46.14474623026965
-44.113600548876,46.15192703099126
-44.04009878370036,46.15903497946001
-43.96660683054966,46.166070270461326
-43.89312465813697,46.173033098780586
-43.81965223517543,46.17992365920321
-43.7461895303782,46.186742146514646
-43.67273651245836,46.19348875550025
-43.599293150129036,46.200163680945465
-43.52585941210333,46.20676711763566
-43.45243526709437,46.213299260356266
-43.37902068381533,46.21976030389273
-43.30561563097924,46.22615044303038
-43.2322200772993,46.23246987255471
-43.158833991488585,46.238718787251045
-43.08545734226023,46.24489738190488
-43.01209009832733,46.251005851301535
-42.938732228403005,46.25704439022646
-42.86538370120044,46.26301319346509
-42.79204448543268,46.26891245580279
-42.7187145498129,46.274742372025024
-42.64539386305417,46.28050313691712
-42.57208239386962,46.286194945264526
-42.49878011097242,46.29181799185268
-42.42548698307563,46.29737247146694
-42.3522029788924,46.30285857889277
-42.27892806713584,46.30827650891552
-42.20566221651907,46.313626456320634
-42.13240539575521,46.3189086158935
-42.05915757355737,46.324123182419534
-41.9859187186387,46.32927035068416
-41.91268879971229,46.33435031547277
-41.83946778549129,46.3393632715708
-41.76625564468877,46.34430941376359
-41.69305234601788,46.349188936836605
-41.619857858191764,46.35400203557526
-41.5466721499235,46.35874890476492
-41.47349518992624,46.36342973919104
-41.400326946913076,46.368044733639
-41.327167389597136,46.3725940828942
-41.25401648669156,46.37707798174208
-41.18087420690945,46.381496624968044
-41.10774051896393,46.38585020735746
-41.034615391568096,46.390138923695766
-40.96149879343511,46.39436296876837
-40.88839069327806,46.39852253736069
-40.815291059810086,46.402617824258115
-40.74219986174429,46.406649024246065
-40.669117067793806,46.41061633210993
-40.596042646671755,46.41451994263515
-40.52297656709124,46.41836005060711
-40.4499187977654,46.42213685081122
-40.37686930740734,46.425850538032904
-40.3038280647302,46.42950130705756
-40.230795038447056,46.43308935267058
-40.15777019727107,46.43661486965739
-40.08475350991535,46.44007805280341
-40.011744945093014,46.443479096894016
-39.938744471517175,46.44681819671464
