X,Y,Theta
-45.000000000000014,2.1185100922421404e-16,1.2752811267839068
-44.97857396192578,0.07038104952184296,1.2738947038258204
-44.95698500088245,0.14059733236422936,1.2711178472081122
-44.935233434503566,0.21064891990878043,1.2683371328387902
-44.913319580422716,0.2805358835371171,1.26555258360155
-44.89124375627344,0.35025829463086045,1.262764222608869
-44.869006279689316,0.41981622457163137,1.2599720732011175
-44.84660746830387,0.4892097447410509,1.2571761589460089
-44.82404763975069,0.5584389265207399,1.254376503637963
-44.801327111663326,0.6275038412923194,1.2515731312967417
-44.77844620167535,0.6964045604374105,1.2487660661668791
-44.755405227420304,0.7651411553376339,1.2459553327170814
-44.732204506531765,0.833713697374611,1.2431409556388415
-44.708844356643255,0.902122257929962,1.2403229598460463
-44.68532509538838,0.9703669083853089,1.2375013704736106
-44.66164704040068,1.038447720122272,1.2346762128760786
-44.637810509313724,1.1063647645224726,1.2318475126271657
-44.61381581976104,1.174118112967531,1.2290152955188456
-44.589663289376226,1.2417078368390693,1.2261795875595134
-44.56535323579281,1.309134007518708,1.2233404149730882
-44.54088597664439,1.3763966963880674,1.2204978041980898
-44.5162618295645,1.4434959748287692,1.217651781885781
-44.4914811121867,1.5104319142224345,1.2148023748995331
-44.466544142144535,1.5772045859506834,1.2119496103134209
-44.441451237071604,1.6438140613951377,1.2090935154103941
-44.41620271460145,1.7102604119374187,1.2062341176808762
-44.390798892367606,1.7765437089591465,1.2033714448222326
-44.36524008800367,1.8426640238419423,1.2005055247363652
-44.339526619143165,1.9086214279674265,1.1976363855285823
-44.313658803419685,1.9744159927172213,1.194764055506104
-44.28763695846678,2.0400477894729474,1.1918885631760598
-44.26146140191799,2.1055168896162253,1.1890099372446352
-44.235132451406905,2.1708233645286765,1.186128206614616
-44.20865042456704,2.2359672855919204,1.1832434003845107
-44.18201563903201,2.3009487241875797,1.180355547846263
-44.15522841243535,2.365767751697276,1.1774646784831029
-44.12828906241061,2.4304244395026284,1.1745708219689033
-44.10119790659135,2.494918858985259,1.1716740081655925
-44.073955262611136,2.559251081526788,1.1687742671215227
-44.046561448103546,2.6234211785088375,1.1658716290691498
-44.01901678070211,2.687429221313027,1.1629661244235248
-43.9913215780404,2.7512752813209786,1.1600577837806503
-43.96347615775199,2.8149594299143126,1.1571466379143072
-43.935480837470394,2.878481738474651,1.1542327177755147
-43.907335934829234,2.9418422783836133,1.1513160544893835
-43.87904176746202,3.0050411210228214,1.148396679353114
-43.85059865300234,3.0680783377738976,1.1454746238343865
-43.822006909083726,3.130954000018459,1.1425499195689979
-43.79326685333979,3.1936681791381303,1.1396225983581705
-43.76437880340402,3.256220946514531,1.13669269216676
-43.735343076910034,3.318612373529282,1.1337602331213519
-43.70615999149137,3.380842531564005,1.1308252535067622
-43.67682986478157,3.4429114920003205,1.1278877857652536
-43.64735301441423,3.504819326219849,1.1249478624929679
-43.61772975802289,3.566566105604213,1.122005516437642
-43.5879604132411,3.628151901535031,1.119060780497094
-43.558045297702435,3.6895767853939265,1.116113687715869
-43.52798472904045,3.7508408285625183,1.1131642712828878
-43.49777902488869,3.811944102422429,1.1102125645294545
-43.46742850288076,3.8728866783552798,1.1072586009259433
-43.436933480650175,3.9336686277426907,1.104302414079616
-43.40629427583051,3.994290021966282,1.1013440377322024
-43.37551120605531,4.054750932407675,1.0983835057572278
-43.344584588958156,4.115051430448492,1.0954208521570106
-43.3135147421726,4.175191587470355,1.0924561110599742
-43.282301983332204,4.235171474854882,1.089489316718472
-43.25094663007053,4.294991163983694,1.0865205035053533
-43.21944900002111,4.354650726238413,1.083549705912016
-43.187809410817536,4.414150233000661,1.0805769585450586
-43.156028180093365,4.473489755652058,1.077602296123114
-43.124105625482144,4.532669365574227,1.074625753474916
-43.092042064617445,4.591689134148784,1.0716473655357348
-43.059837815132795,4.650549132757353,1.068667167345189
-43.02749319466181,4.709249432781558,1.0656851940435264
-42.995008520838006,4.767790105603015,1.0627014808688664
-42.96238411129496,4.826171222603348,1.059716063154839
-42.9296202836662,4.884392855164176,1.0567289763273544
-42.896717355585345,4.94245507466712,1.0537402559012348
-42.86367564468591,5.000357952493803,1.0507499374772697
-42.83049546860148,5.058101560025845,1.0477580567397504
-42.79717714496559,5.1156859686448675,1.0447646494527754
-42.763720991411795,5.173111249732489,1.041769751457893
-42.73012732557369,5.230377474670333,1.038773398670278
-42.69639646508482,5.28748471484002,1.0357756270757497
-42.66252872757873,5.344433041623171,1.0327764727281399
-42.628524430688984,5.401222526401407,1.0297759717459756
-42.59438389204915,5.4578532405563465,1.026774160309165
-42.56010742929279,5.514325255469614,1.0237710746556863
-42.525695360053454,5.57063864252283,1.0207667510789538
-42.49114800196472,5.626793473097616,1.0177612259240445
-42.45646567266011,5.682789818575588,1.0147545355850145
-42.421648689773214,5.738627750338372,1.01174671650165
-42.3866973709376,5.794307339767589,1.0087378051554599
-42.35161203378679,5.849828658244856,1.005727838067559
-42.31639299595439,5.905191777151798,1.0027168517947902
-42.281040575073916,5.9603967678700345,0.9997048829265032
-42.24555508877895,6.015443701781186,0.9966919680817479
-42.20993685470306,6.070332650266875,0.9936781439052127
-42.17418619047978,6.125063684708719,0.9906634470648187
-42.138303413742705,6.179636876488345,0.9876479142478221
-42.10228884212536,6.234052296987367,0.9846315821576554
-42.066142793261314,6.288310017587411,0.9816144875112778
-42.02986558478414,6.342410109670094,0.978596667034881
-41.99345753432738,6.396352644617043,0.9755781574611834
-41.956918959524614,6.450137693809874,0.9725589955261547
-41.92025017800939,6.503765328630209,0.96953921796532
