X,Y,Theta
-44.999999999999986,4.267572448069813e-16,1.5247606155243452
-44.99590513709317,0.08888685882292992,1.5231829205723597
-44.9915378549498,0.17759177699307482,1.520021592840649
-44.98689869617171,0.2661147659768601,1.5168544039836431
-44.98198820336074,0.35445583724071034,1.5136813825889217
-44.9768069191187,0.44261500225105066,1.51050255767726
-44.971355386047435,0.5305922724743057,1.5073179587022572
-44.96563414674874,0.6183876593769004,1.5041276155501278
-44.95964374382446,0.7060011744252593,1.5009315585397751
-44.95338471987641,0.7934328290858076,1.4977298184219798
-44.946857617506424,0.8806826348249701,1.4945224263793115
-44.94006297931632,0.9677506031091714,1.4913094140256005
-44.93300134790794,1.0546367454048367,1.4880908134050779
-44.92567326588306,1.1413410731783897,1.4848666569923714
-44.91807927584356,1.2278635978962567,1.4816369776913187
-44.91021992039125,1.3142043310248617,1.478401808833735
-44.90209574212795,1.4003632840306297,1.4751611841791545
-44.89370728365546,1.4863404683799852,1.4719151379140027
-44.88505508757565,1.5721358955393538,1.4686637046497368
-44.876139696490306,1.6577495769751602,1.465406919422209
-44.86696165300129,1.7431815241538284,1.4621448176903729
-44.8575214997104,1.8284317485417838,1.4588774353345286
-44.84781977921946,1.9135002616054517,1.4556048086555882
-44.837857034130295,1.9983870748112555,1.4523269743732719
-44.827633807044755,2.083092199625621,1.4490439696241273
-44.81715064056465,2.1676156475149737,1.4457558319599488
-44.80640807729179,2.2519574299457377,1.4424625993466131
-44.795406659828025,2.336117558384337,1.439164310161372
-44.78414693077514,2.420096044297197,1.4358610031916712
-44.77262943273501,2.5038928991507436,1.4325527176324222
-44.76085470830943,2.587508134411401,1.4292394930837662
-44.74882330010023,2.670941761545593,1.425921369549793
-44.73653575070924,2.7541937920197452,1.4225983874351613
-44.723992602738264,2.8372642373002828,1.4192705875432952
-44.71119439878916,2.920153108853629,1.4159380110736226
-44.69814168146374,3.002860418146212,1.412600699618788
-44.68483499336382,3.0853861766444535,1.4092586951624153
-44.671274877091236,3.1677303958147793,1.4059120400759393
-44.6574618752478,3.2498930871236147,1.4025607771159654
-44.643396530435346,3.331874262037384,1.3992049494210417
-44.62907938525569,3.4136739320225113,1.395844600508802
-44.614510982310684,3.495292108545423,1.3924797742725898
-44.599691864202114,3.5767288030725433,1.389110514978373
-44.584622573531824,3.6579840270702966,1.3857368672616153
-44.569303652901645,3.739057792005108,1.3823588761232033
-44.55373564491339,3.819950109343401,1.378976586926562
-44.5379190921689,3.9006609905516045,1.3755900453935992
-44.521854537269974,3.981190447096138,1.3721992976013104
-44.505542522818466,4.06153849044343,1.3688043899778128
-44.48898359141617,4.141705132059904,1.3654053692984893
-44.472178285664945,4.2216903834119845,1.362002282682076
-44.45512714816659,4.301494255966099,1.3585951775863676
-44.437830721522936,4.381116761188669,1.3551841018045023
-44.42028954833581,4.46055791054612,1.3517691034603945
-44.40250417120705,4.539817715504878,1.348350231004265
-44.38447513273845,4.618896187531366,1.344927533208714
-44.36620297553187,4.697793338092012,1.341501059163876
-44.3476882421891,4.776509178653237,1.3380708582728922
-44.32893147531199,4.8550437206814685,1.3346369802475075
-44.30993321750236,4.933396975643131,1.3311994751027991
-44.29069401136204,5.011568955004649,1.3277583931526586
-44.271214399492834,5.089559670232446,1.3243137850050595
-44.25149492449657,5.167369132792947,1.320865701557156
-44.2315361289751,5.244997354152579,1.3174141939894364
-44.211338555530226,5.322444345777767,1.3139593137612204
-44.19090274676378,5.399710119134935,1.3105011126055737
-44.170229245277596,5.476794685690503,1.307039642523296
-44.149318593673456,5.5536980569109025,1.3035749557786018
-44.12817133455324,5.630420244262556,1.3001071048929007
-44.10678801051875,5.706961259211889,1.2966361426389468
-44.0851691641718,5.783321113225325,1.2931621220363232
-44.063315338114236,5.859499817769288,1.28968509634506
-44.04122707494786,5.935497384310206,1.2862051190601511
-44.01890491727453,6.0113138243145015,1.28272224390546
-43.99634940769604,6.086949149248599,1.2792365248281796
-43.97356108881422,6.162403370578926,1.2757480159929282
-43.95054050323089,6.237676499771903,1.2722567717755648
-43.92728819354789,6.31276854829396,1.2687628467574366
-43.903804702367054,6.387679527611517,1.265266295718532
-43.880090572290186,6.462409449191002,1.2617671736321887
-43.85614634591913,6.536958324498839,1.258265535658335
-43.83197256585566,6.6113261650014525,1.254761437137832
-43.80756977470167,6.685512982165267,1.251254933585534
-43.78293851505896,6.759518787456708,1.2477460806833784
-43.75807932952933,6.8333435923421995,1.2442349342755088
-43.73299276071463,6.906987408288168,1.2407215503606706
-43.70767935121667,6.980450246761036,1.237205985085897
-43.68213964363729,7.05373211922723,1.233688294739893
-43.6563741805783,7.126833037153175,1.2301685357467123
-43.63038350464155,7.1997530120052975,1.226646764658657
-43.604168158428834,7.272492055250017,1.223123038149691
-43.57772868454198,7.345050178353761,1.2195974130094336
-43.55106562558284,7.417427392782956,1.2160699461353066
-43.524179524153226,7.489623710004024,1.2125406945259913
-43.49707092285495,7.5616391414833934,1.209009715275089
-43.46974036428985,7.633473698687486,1.2054770655640241
-43.44218839105974,7.705127393082728,1.2019428026550383
-43.41441554576647,7.776600236135545,1.1984069838839289
-43.38642237101182,7.8478922393123565,1.1948696666538918
-43.35820940939766,7.919003414079596,1.1913309084280508
-43.329777203525786,7.989933771903681,1.1877907667222316
-43.30112629599803,8.06068332425104,1.1842492990988098
-43.27225722941624,8.131252082588096,1.1807065631585811
-43.24317054638221,8.201640058381276,1.177162616534368
-43.213866789497764,8.271847263097005,1.1736175168843386
-43.18434650136476,8.341873708201707,1.1700713218838474
