X,Y
-44.99999999999999,-5.331093069748888e-16
-44.08554930322656,0.9672995218797854
-43.174670699710695,1.8345649780155173
-42.26716787239567,2.6055865761090478
-41.36284450422471,3.284154523862231
-40.46150427814107,3.874059028976918
-39.56295087708802,4.379090299154966
-38.666987984008784,4.803038542098224
-37.773419281846635,5.149693965508548
-36.8820484535448,5.422846777087787
-35.992679182046565,5.626287184537801
-35.105115150295134,5.763805395560437
-34.21916004123379,5.839191617857551
-33.157861273895186,5.852977471940609
-32.27475475871226,5.805014850152099
-31.39262895163781,5.707048904283994
-30.511287535615097,5.56286984203815
-29.630534193587373,5.376267871116425
-28.750172608497873,5.151033199220663
-27.870006463289858,4.890956034052724
-26.98983944090657,4.599826583314458
-26.109475224291266,4.281435054707718
-25.22871749638719,3.9395716559343583
-24.347369940137604,3.5780265946962313
-23.465236238485765,3.2005900786951944
-22.40536167015666,2.732026151651112
-21.520807412580062,2.3329699662821866
-20.634838795019604,1.9301509907962764
-19.747259500418537,1.5273594328952385
-18.857873211720108,1.128385500280923
-17.966483611867563,0.7370194006551838
-17.072894383804158,0.35705134171987307
-16.176909210473138,-0.007728468823152923
-15.278331774817765,-0.3535298232720425
-14.376965759781275,-0.6765625139249449
-13.472614848306925,-0.9730363330800049
-12.565082723337966,-1.2391610730353686
-11.47156855714643,-1.5131133639939978
-10.556346726449572,-1.6991285985995084
-9.637315467676506,-1.8426660893593922
-8.714278463770484,-1.9399356285717988
-7.787039397674754,-1.9871470085348724
-6.85540195233257,-1.9805100215467608
-5.919169810687176,-1.9162344599056107
-4.978146655681827,-1.7905301159095692
-4.032136170259772,-1.5996067818567827
-3.080942037364267,-1.3396742500453989
-2.1243679399385536,-1.0069423127735626
-1.1622175609258858,-0.5976207623394219
0.0,0.0
